Tabla,tipo,titulo_detectado,pagina,rango_cronologico,area,escalas_encontradas,registros_extraidos,estado,incidencias
N-1,CONVERSION_PC_Z_T_CI_ECN,"BAREMOS Tabla N-1. Conversión de puntuaciones centiles en otras puntuaciones típicas: z, T, CI y ECN",,,,[],265,LOCALIZADA,[]
N-2,TABLA_ESPECIAL_N2,"Tabla N-2. Puntuación total del PD Centil PD Centil Battelle, conversión en 98+ 97 166+ 97 cantiles: todas las 92-97 94 165 93 edades (en meses) 79 89 152-158 87 78 80 148-151 83 77 77 139-147 80 76 74 134-138 77 74-75 71 130-133 73 73 66 127-129 70 72 63 126 67 70-71 57 124-125 57 69 54 122-123 50 67-68 51 117-121 43 65-66 49 116 37 64 46 112-115 30 56-63 43 109-111 27 54-55 40 108 23 49-53 37 105-107 20 48 34 104 17 44-47 31 96-103 10 42-43 26 95 7 41 23 91-94 3 36-40 20 0-90 1 35 14 30-34 9 27-29 6 23-26 3 0-22 1",,,,[],1,LOCALIZADA,[]
N-3,PD_A_PERCENTIL,"Tabla N-3. Área Personal-Social, conversión en centiles Tabla N-4. Área Adaptativa, conversión en centiles",,,,[],62,LOCALIZADA,[]
N-5,PD_A_PERCENTIL,"I·. 0-5 MESES Tabla N-5. Área Motora, conversión en centiles",,,,[],0,LOCALIZADA,[]
N-6,PD_A_PERCENTIL,"Tabla N-6. Área Comunicación, conversión en centiles",,,,[],0,LOCALIZADA,[]
N-7,PD_A_PERCENTIL,"Tabla N-7. Área Cognitiva, conversión en centiles",,,,[],68,LOCALIZADA,"[{'Tabla': 'N-7', 'tipo': 'INTERVALO_PD_INVALIDO', 'HojaFuente': 'Table 1', 'CeldaFuente': 'AA105', 'TextoFuente': '13\n11-12'}]"
N-8,PD_A_PERCENTIL,"Tabla N-8. Área Personal-Social, conversión en cantiles Tabla N-9. Área Adaptativa, conversión en centiles",,,,[],172,LOCALIZADA,"[{'Tabla': 'N-8', 'tipo': 'INTERVALO_PD_INVALIDO', 'HojaFuente': 'Table 1', 'CeldaFuente': 'CA172', 'TextoFuente': '6\n0-5'}]"
N-11,PD_A_PERCENTIL,"Tabla N-11. Área Comunicación, conversión en centiles Tabla N-12. Área Cognmva,conversión en centiles",,,,[],46,LOCALIZADA,[]
N-13,PD_A_PERCENTIL,"Tabla N-13. Área Personal-Social, conversión en cantiles",,,,[],0,LOCALIZADA,[]
N-14,PD_A_PERCENTIL,"Tabla N-14; Área Adaptativa, conversión en cantiles",,,,[],0,LOCALIZADA,[]
N-15,PD_A_PERCENTIL,"Tabla N-15. Área Motora, conversión en cantiles",,,,[],136,LOCALIZADA,[]
N-16,PD_A_PERCENTIL,"Tabla N-16. Área Comunicación, conversión en centiles Tabla N-17. Área Cognttiva, conversión en centiles",,,,[],89,LOCALIZADA,"[{'Tabla': 'N-16', 'tipo': 'INTERVALO_PD_INVALIDO', 'HojaFuente': 'Table 1', 'CeldaFuente': 'AV261', 'TextoFuente': '8\n0-7'}]"
N-18,PD_A_PERCENTIL,"l. 18-23 MESES Tabla N-18. Área Personal-Social, conversión en cantiles",,,,[],97,LOCALIZADA,"[{'Tabla': 'N-18', 'tipo': 'INTERVALO_PD_INVALIDO', 'HojaFuente': 'Table 1', 'CeldaFuente': 'A323', 'TextoFuente': '20\n19\n18\n17\n16\n15\n14\n0-13'}]"
N-20,PD_A_PERCENTIL,"Tabla N-20. Área Motora, conversión en centiles",,,,[],106,LOCALIZADA,"[{'Tabla': 'N-20', 'tipo': 'INTERVALO_PD_INVALIDO', 'HojaFuente': 'Table 1', 'CeldaFuente': 'C338', 'TextoFuente': '13\n0-12'}, {'Tabla': 'N-20', 'tipo': 'INTERVALO_PD_INVALIDO', 'HojaFuente': 'Table 1', 'CeldaFuente': 'BK338', 'TextoFuente': '44\n0-43'}]"
N-21,PD_A_PERCENTIL,"Tabla N-21. Área Comunicación, conversión en centiles Tabla N-22. Área Cognitiva, conversión en centiles",,,,[],108,LOCALIZADA,[]
