PC,z,T,CI,ECN,EstadoRevision,procedencia,confianza,TextoFuente
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!A3,0.2,"BAREMOS
Tabla N-1. Conversión de puntuaciones centiles en otras puntuaciones típicas: z, T, CI y ECN"
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!Q4,0.2,T
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!W4,0.2,CI
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!AD4,0.2,ECN
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!AL4,0.2,z
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!AT4,0.2,T
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!BA4,0.2,CI
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!BG4,0.2,ECN
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!BP4,0.2,z
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!BX4,0.2,T
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!CC4,0.2,CI
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!CG4,0.2,ECN
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!CR4,0.2,z
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!CV4,0.2,T
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!DA4,0.2,CI
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!DE4,0.2,ECN
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!A5,0.2,"z
+2,33
+2,05
+1,88
+1,75
+1,64
+1,56
+1,48
+1,40
+1,34
+1,28
+1,23
+1,18
+1,13
+1,08
+1,04
+1,00
+0,95
+0,92
+0,88
+0,84
+0,81
+0,77
+0,74
+0,71"
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!Q6,0.2,"73
71
69
68"
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!W6,0.2,"135
131
128
126"
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!AD6,0.2,"99
93
90
87"
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!AL6,0.2,"+0,68
+0,64
+0,61
+0,58
+0,55"
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!AT6,0.2,"57
56"
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!BA6,0.2,110
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!BG6,0.2,64
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!BP6,0.2,"0,00"
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!BX6,0.2,50
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!CC6,0.2,100
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!CG6,0.2,50
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!CR6,0.2,"-0,68"
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!CV6,0.2,43
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!DA6,0.2,90
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!DE6,0.2,36
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!BA7,0.2,110
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!BG7,0.2,63
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!BP7,0.2,"-0,02"
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!BX7,0.2,50
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!CC7,0.2,100
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!CG7,0.2,50
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!CR7,0.2,"-0,71"
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!CV7,0.2,43
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!DA7,0.2,89
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!DE7,0.2,35
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!AT8,0.2,56
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!BA8,0.2,109
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!BG8,0.2,63
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!BP8,0.2,"-0,05"
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!BX8,0.2,50
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!CC8,0.2,99
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!CG8,0.2,49
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!CR8,0.2,"-0,74"
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!CV9,0.2,43
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!DA9,0.2,89
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!DE9,0.2,34
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!AT10,0.2,56
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!BA10,0.2,109
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!BG10,0.2,62
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!BP10,0.2,"-0,08"
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!BX10,0.2,49
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!CC10,0.2,99
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!CG10,0.2,48
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!CR10,0.2,"-0,77"
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!CV10,0.2,42
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!DA10,0.2,88
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!DE11,0.2,34
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!AT12,0.2,56
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!BA12,0.2,108
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!BG12,0.2,62
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!BP12,0.2,"-0,10"
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!BX12,0.2,49
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!CC12,0.2,98
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!CG12,0.2,48
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!CR12,0.2,"-0,81"
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!CV12,0.2,42
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!DA12,0.2,88
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!DE12,0.2,33
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!Q13,0.2,"66
66
65
64
63
63
62
62
61
61
60
60
60
59
59"
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!W13,0.2,"125
123
122
121
120
119
118
118
117
116
116
115
114
114
113
113
112
112
111
111"
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!AD13,0.2,"85
83
81
79
78
77
76
75
74
73
72
71
70
69
69"
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!AL13,0.2,"+0,52
+0,50
+0,47
+0,44
+0,41
+0,39
+0,36
+0,33
+0,31
+0,28
+0,25
+0,23
+0,20
+0,18
+0,15"
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!AT13,0.2,55
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!BA13,0.2,108
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!BG13,0.2,61
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!BP13,0.2,"-0,13"
