Tabla,PaginaPDF,EdadMinMeses,EdadMaxMeses,Area,Subarea,PDTexto,PDMin,PDMax,LimiteSuperiorAbierto,Percentil,EstadoRevision,ConfianzaExtraccion,HojaFuente,CeldaFuente,TextoFuente,IncidenciaOCR
N-3,4,0,5,Personal-Social,Autoconcepto,6+,6,,1,96,REVISADO VISUALMENTE,,,,,
N-3,4,0,5,Personal-Social,Autoconcepto,5,5,5,0,94,REVISADO VISUALMENTE,,,,,
N-3,4,0,5,Personal-Social,Autoconcepto,4,4,4,0,82,REVISADO VISUALMENTE,,,,,
N-3,4,0,5,Personal-Social,Autoconcepto,3,3,3,0,74,REVISADO VISUALMENTE,,,,,
N-3,4,0,5,Personal-Social,Autoconcepto,2,2,2,0,26,REVISADO VISUALMENTE,,,,,
N-3,4,0,5,Personal-Social,Autoconcepto,1,1,1,0,20,REVISADO VISUALMENTE,,,,,
N-3,4,0,5,Personal-Social,Autoconcepto,0,0,0,0,1,REVISADO VISUALMENTE,,,,,
N-3,4,0,5,Personal-Social,Expresión de sentimientos/afecto,8+,8,,1,94,REVISADO VISUALMENTE,,,,,
N-3,4,0,5,Personal-Social,Expresión de sentimientos/afecto,7,7,7,0,86,REVISADO VISUALMENTE,,,,,
N-3,4,0,5,Personal-Social,Expresión de sentimientos/afecto,6,6,6,0,42,REVISADO VISUALMENTE,,,,,
N-3,4,0,5,Personal-Social,Expresión de sentimientos/afecto,5,5,5,0,22,REVISADO VISUALMENTE,,,,,
N-3,4,0,5,Personal-Social,Expresión de sentimientos/afecto,4,4,4,0,16,REVISADO VISUALMENTE,,,,,
N-3,4,0,5,Personal-Social,Expresión de sentimientos/afecto,3,3,3,0,14,REVISADO VISUALMENTE,,,,,
N-3,4,0,5,Personal-Social,Expresión de sentimientos/afecto,2,2,2,0,6,REVISADO VISUALMENTE,,,,,
N-3,4,0,5,Personal-Social,Expresión de sentimientos/afecto,1,1,1,0,4,REVISADO VISUALMENTE,,,,,
N-3,4,0,5,Personal-Social,Expresión de sentimientos/afecto,0,0,0,0,1,REVISADO VISUALMENTE,,,,,
N-3,4,0,5,Personal-Social,Interacción con el adulto,18+,18,,1,98,REVISADO VISUALMENTE,,,,,
